portfolio_id,return
PF00001001,0.025244718648090858
PF00001004,0.028481685331643712
PF00001009,0.025257614751986963
PF00001013,0.025257614751986963
PF00001014,0.025257614751986963
PF00001015,0.025257614751986963
PF00001017,0.025884645331643717
PF00001023,0.025257614751986963
PF00001024,0.025257614751986963
PF00001025,0.057703466939639306
PF00001028,0.025257614751986963
PF00001032,0.025257614751986963
PF00001036,0.025257614751986963
PF00001041,0.025257614751986963
PF00001045,0.025257614751986963
PF00001047,0.025257614751986963
PF00001049,0.025257614751986963
PF00001053,0.05801886693963931
PF00001060,0.025257614751986963
PF00001067,0.025257614751986963
PF00001068,0.025257614751986963
PF00001069,0.025257614751986963
PF00001077,0.025257614751986963
PF00001078,0.025257614751986963
PF00001085,0.025257614751986963
PF00001086,0.058004366939639306
PF00001087,0.025257614751986963
PF00001088,0.025257614751986963
PF00001092,0.028481685331643712
PF00001095,0.025257614751986963
PF00001099,0.025257614751986963
PF00001100,0.028481685331643712
PF00001104,0.025346370634339904
PF00001105,0.026582910639360635
PF00001107,0.026582910639360635
PF00001108,0.057715616939639315
PF00001112,0.026582910639360635
PF00001119,0.026582910639360635
PF00001123,0.026582910639360635
PF00001126,0.026582910639360635
PF00001132,0.02531559060072646
PF00001135,0.02531559060072646
PF00001145,0.025774987394957982
PF00001148,0.02531559060072646
PF00001153,0.025289466852827302
PF00001155,0.058033866939639314
PF00001161,0.025289466852827302
PF00001164,0.025289466852827302
PF00001165,0.025289466852827302
PF00001171,0.05208095714285714
PF00001178,0.0252765707489312
PF00001179,0.0317041465518
PF00001180,0.05799246693963931
PF00001194,0.025289466852827302
PF00001199,0.025289466852827302
PF00001198,0.02891494193277311
PF00001203,0.025289466852827302
PF00001204,0.025289466852827302
PF00001209,0.055075814285714286
PF00001210,0.025289466852827302
PF00001218,0.025289466852827302
PF00001220,0.025289466852827302
PF00001223,0.025289466852827302
PF00001225,0.025289466852827302
PF00001227,0.025289466852827302
PF00001230,0.05792981428571429
PF00001233,0.025289466852827302
PF00001236,0.02529033743248405
PF00001238,0.028513537432484054
PF00001239,0.05799446693963931
